method,composition_mean,composition_median,composition_p10,composition_p90,transition_mean,transition_median,transition_p10,transition_p90,norm_edit_mean,norm_edit_median,norm_edit_p10,norm_edit_p90
IID,1.2975220932247447,1.2873563218390807,1.1908045977011494,1.4022988505747127,10.109314849185644,10.106060606060606,9.692049062049064,10.564285714285713,0.8758158609137642,0.8735632183908046,0.8390804597701149,0.9195402298850575
MBB,1.193091896262924,1.1954022988505746,1.0804597701149425,1.3149425287356324,10.121576646628691,10.20701754385965,9.559022556390978,10.566969696969696,0.8172471553168139,0.8160919540229885,0.7701149425287356,0.8620689655172413
SB,1.1979437416969907,1.1954022988505748,1.0804597701149425,1.3333333333333335,10.169711936556952,10.2,9.759480519480519,10.585994397759105,0.8214058799745856,0.8160919540229885,0.7701149425287356,0.8735632183908046
Regime-Uniform,1.2930168081788251,1.2873563218390804,1.1724137931034482,1.4068965517241385,10.139357553947143,10.145238095238096,9.689103119103118,10.570952380952383,0.8772021024663548,0.8735632183908046,0.8390804597701149,0.9310344827586207
Regime-Markov,1.3749205799110495,1.3793103448275863,1.264367816091954,1.4942528735632183,10.7309982730837,10.764285714285714,10.635714285714284,10.764285714285716,0.878934904407093,0.8850574712643678,0.8505747126436781,0.9080459770114943
